event_id,start_date,event_name,category,description
1,1990-08-02,Iraqi Invasion of Kuwait,Conflict,"Iraq invades Kuwait, triggering the Gulf War and removing significant OPEC supply from the market."
2,1991-01-17,Start of Operation Desert Storm,Conflict,"US-led coalition launches the air war against Iraq; oil prices crash as fears of a prolonged war ease."
3,1997-07-02,Asian Financial Crisis,Economic Shock,"Currency collapses across Southeast Asia sharply reduce regional oil demand and global growth expectations."
4,2001-09-11,September 11 Attacks,Geopolitical,"Terrorist attacks on the US create short-term demand shock and long-run geopolitical risk premium in oil markets."
5,2003-03-20,US Invasion of Iraq,Conflict,"US-led invasion of Iraq disrupts Iraqi oil production and raises Middle East supply risk."
6,2008-07-11,Pre-Crisis Oil Price Peak,Economic Shock,"Brent crude peaks near $147/barrel amid strong demand and speculation, just before the global financial crisis."
7,2008-09-15,Global Financial Crisis (Lehman Collapse),Economic Shock,"Lehman Brothers collapse triggers a global recession, causing oil demand and prices to crash sharply."
8,2011-02-15,Arab Spring / Libyan Civil War,Conflict,"Political uprisings across the Middle East and North Africa, including civil war in Libya, disrupt regional oil supply."
9,2014-11-27,OPEC Decision Not to Cut Production,OPEC Policy,"OPEC maintains output despite oversupply from US shale growth, accelerating the 2014-2016 price collapse."
10,2016-01-16,Iran Sanctions Lifted (JCPOA Implementation),Sanctions,"Implementation of the Iran nuclear deal lifts sanctions, allowing Iranian oil back onto global markets."
11,2016-11-30,OPEC+ First Production Cut Agreement,OPEC Policy,"OPEC and non-OPEC producers (OPEC+) agree to coordinated production cuts to support falling prices."
12,2018-05-08,US Withdrawal from Iran Nuclear Deal,Sanctions,"US exits the JCPOA and reimposes sanctions on Iranian oil exports, tightening expected supply."
13,2019-09-14,Attack on Saudi Aramco Facilities,Conflict,"Drone/missile attacks on Abqaiq and Khurais temporarily knock out roughly half of Saudi oil production."
14,2020-03-08,Saudi-Russia Price War,OPEC Policy,"OPEC+ talks collapse; Saudi Arabia launches a price war, flooding the market with supply."
15,2020-04-20,COVID-19 Demand Collapse (Negative WTI / Brent low),Economic Shock,"Global lockdowns collapse oil demand; US WTI futures briefly turn negative and Brent falls to $9.12, its lowest in decades."
16,2022-02-24,Russian Invasion of Ukraine,Conflict,"Russia's invasion of Ukraine triggers sanctions on Russian energy exports and major global supply uncertainty."